rank,full_name,url,description,stars,forks,language,created_at,updated_at,last_commit_date,open_issues,topics,license,readme_summary,has_readme,top_contributor,contributor_count,recent_commits,activity_score,id
107,storybookjs/storybook,https://github.com/storybookjs/storybook,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",88772,9806,TypeScript,2016-03-18,2025-12-05,2025-12-05,2260,"angular, components, design-systems",MIT License,"<p align=""center""> <a href=""https://storybook.js.org/?ref=readme""> <picture>...",True,shilman,3,5,90.0,54173593
108,florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,A Collection of application ideas which can be used to improve your coding skills.,88618,10156,未知,2019-02-25,2025-10-11,2025-10-11,598,"applications, coding, codingchallenges",MIT License,[![CodeRabbit](./coderabbit.jpg)](https://www.coderabbit.ai/?ref=app-ideas) Thank you [CodeRabbit](https://www.coderabbit.ai/?ref=app-ideas) for sponsoring this repository! 🙏 Have you ever wanted to build something but you had no idea what to do? Just as...,True,florinpop17,3,5,80.0,172562475
109,gin-gonic/gin,https://github.com/gin-gonic/gin,Gin is a high-performance HTTP web framework written in Go. It provides a Martini-like API but with significantly better performance—up to 40 times faster—thanks to httprouter. Gin is designed for bui,87268,8494,Go,2014-06-16,2025-12-05,2025-12-05,869,"framework, gin, go",MIT License,"<img align=""right"" width=""159px"" src=""https://raw.githubusercontent.com/gin-gonic/logo/master/color.png""> [![Build Status](https://github.com/gin-gonic/gin/actions/workflows/gin.yml/badge.svg?branch=master)](https://github.com/gin-gonic/gin/actions/workflows/gin.yml) [![Trivy Security Scan](https://github.com/gin-gonic/gin/actions/workflows/trivy-scan.yml/badge.svg)](https://github.com/gin-gonic/g...",True,manucorporat,3,5,100.0,20904437
110,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,87130,38302,C++,2010-12-19,2025-12-05,2025-12-05,724,"bitcoin, c-plus-plus, cryptocurrency",MIT License,Bitcoin Core integration/staging tree ===================================== https://bitcoincore.org...,True,laanwj,3,5,100.0,1181927
111,ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,86604,60712,TypeScript,2023-03-10,2025-12-02,2025-09-29,789,"calclaude, chatgpt, claude",MIT License,"<div align=""center""> <a href='https://nextchat.club'> <img src=""https://github.com/user-attachments/assets/83bdcc07-ae5e-4954-a53a-ac151ba6ccf3"" width=""1000"" alt=""icon""/>...",True,Yidadaa,3,5,100.0,612344730
112,django/django,https://github.com/django/django,The Web framework for perfectionists with deadlines.,86058,33293,Python,2012-04-28,2025-12-05,2025-12-05,364,"apps, django, framework","BSD 3-Clause ""New"" or ""Revised"" License",====== Django ======...,True,timgraham,3,5,100.0,4164482
113,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,86014,9811,TypeScript,2025-04-17,2025-12-06,2025-12-06,2304,"gemini, gemini-api",Apache License 2.0,[![Gemini CLI CI](https://github.com/google-gemini/gemini-cli/actions/workflows/ci.yml/badge.svg)](https://github.com/google-gemini/gemini-cli/actions/workflows/ci.yml) [![Gemini CLI E2E](https://github.com/google-gemini/gemini-cli/actions/workflows/e2e.yml/badge.svg)](https://github.com/google-gemini/gemini-cli/actions/workflows/e2e.yml) [![Version](https://img.shields.io/npm/v/@google/gemini-cli...,True,scidomino,3,5,90.0,968197216
114,immich-app/immich,https://github.com/immich-app/immich,High performance self-hosted photo and video management solution.,85761,4507,TypeScript,2022-02-03,2025-12-06,2025-12-05,622,"backup-tool, flutter, google-photos",GNU Affero General Public License v3.0,"<p align=""center""> <br/> <a href=""https://opensource.org/license/agpl-v3""><img src=""https://img.shields.io/badge/License-AGPL_v3-blue.svg?color=3F51B5&style=for-the-badge&label=License&logoColor=000000&labelColor=ececec"" alt=""License: AGPLv3""></a>...",True,alextran1502,3,5,100.0,455229168
115,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",85752,6318,TypeScript,2023-11-21,2025-12-06,2025-12-06,77,"clash, clash-meta, clash-verge",GNU General Public License v3.0,"<h1 align=""center""> <img src=""./src-tauri/icons/icon.png"" alt=""Clash"" width=""128"" /> <br>...",True,zzzgydi,3,5,100.0,721767116
116,gohugoio/hugo,https://github.com/gohugoio/hugo,The world’s fastest framework for building websites.,85205,8136,Go,2013-07-04,2025-12-05,2025-12-05,370,"blog-engine, cms, content-management-system",Apache License 2.0,[bep]: https://github.com/bep [bugs]: https://github.com/gohugoio/hugo/issues?q=is%3Aopen+is%3Aissue+label%3ABug [contributing]: CONTRIBUTING.md...,True,bep,3,5,100.0,11180687
117,opencv/opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,85167,56388,C++,2012-07-19,2025-12-05,2025-12-05,2705,"c-plus-plus, computer-vision, deep-learning",Apache License 2.0,* Homepage: <https://opencv.org> * Courses: <https://opencv.org/courses> * Docs: <https://docs.opencv.org/4.x/>...,True,alalek,3,5,90.0,5108051
118,sveltejs/svelte,https://github.com/sveltejs/svelte,web development for the rest of us,85044,4699,JavaScript,2016-11-20,2025-12-06,2025-12-06,966,"compiler, template, ui",MIT License,"<a href=""https://svelte.dev""> <picture> <source media=""(prefers-color-scheme: dark)"" srcset=""assets/banner_dark.png"">...",True,Rich-Harris,3,5,90.0,74293321
119,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,84527,8358,TypeScript,2014-11-01,2025-12-04,2025-12-04,1541,"diagrams, diagrams-as-code, documentation",MIT License,"<p align=""center""> <img src=""https://raw.githubusercontent.com/mermaid-js/mermaid/develop/docs/public/favicon.svg"" height=""150""> </p>...",True,sidharthv96,3,5,90.0,26066727
120,oven-sh/bun,https://github.com/oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",84221,3724,Zig,2021-04-14,2025-12-06,2025-12-06,5360,"bun, bundler, javascript",Other,"<p align=""center""> <a href=""https://bun.com""><img src=""https://github.com/user-attachments/assets/50282090-adfd-4ddb-9e27-c30753c6b161"" alt=""Logo"" height=170></a> </p>...",True,Jarred-Sumner,3,5,90.0,357728969
121,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,83898,4812,Python,2024-11-13,2025-12-01,2025-12-01,391,"autogen, autogen-extension, langchain",MIT License,[![PyPI](https://img.shields.io/pypi/v/markitdown.svg)](https://pypi.org/project/markitdown/) ![PyPI - Downloads](https://img.shields.io/pypi/dd/markitdown) [![Built by AutoGen Team](https://img.shields.io/badge/Built%20by-AutoGen%20Team-blue)](https://github.com/microsoft/autogen)...,True,afourney,3,5,100.0,888092115
122,home-assistant/core,https://github.com/home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.,82993,36084,Python,2013-09-17,2025-12-06,2025-12-06,2970,"asyncio, hacktoberfest, home-automation",Apache License 2.0,Home Assistant |Chat Status| ================================================================================= Open source home automation that puts local control and privacy first. Powered by a worldwide community of tinkerers and DIY enthusiasts. Perfect to run on a Raspberry Pi or a local server....,True,balloob,3,5,90.0,12888993
123,laravel/laravel,https://github.com/laravel/laravel,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things.",82973,24631,Blade,2011-06-08,2025-11-25,2025-11-25,32,"framework, laravel, php",无,"<p align=""center""><a href=""https://laravel.com"" target=""_blank""><img src=""https://raw.githubusercontent.com/laravel/art/master/logo-lockup/5%20SVG/2%20CMYK/1%20Full%20Color/laravel-logolockup-cmyk-red.svg"" width=""400"" alt=""Laravel Logo""></a></p> <p align=""center""> <a href=""https://github.com/laravel/framework/actions""><img src=""https://github.com/laravel/framework/workflows/tests/badge.svg"" alt=""B...",True,taylorotwell,3,5,90.0,1863329
124,gothinkster/realworld,https://github.com/gothinkster/realworld,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",82629,7542,TypeScript,2016-02-26,2025-12-04,2025-10-06,56,,MIT License,"![RealWorld Example Applications](media/realworld-dual-mode.png) <p align=""center"" style=""margin-top: 30px;""><img src=""media/stacks_hr.gif""></p> You can combine any frontend with any backend, because **they all adhere to the same API spec**...",True,EricSimons,3,5,100.0,52631841
125,animate-css/animate.css,https://github.com/animate-css/animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,82511,16143,CSS,2011-10-12,2024-07-29,2024-03-02,73,"animation, css, css-animations",Other,[![GitHub Version](https://img.shields.io/github/release/animate-css/animate.css.svg?style=for-the-badge)](https://github.com/animate-css/animate.css/releases) [![Github Star](https://img.shields.io/github/stars/animate-css/animate.css.svg?style=for-the-badge)](https://github.com/animate-css/animate.css/stargazers) [![Github Fork](https://img.shields.io/github/forks/animate-css/animate.css.svg?sty...,True,daneden,3,5,60.0,2561582
126,macrozheng/mall,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,82341,29585,Java,2018-04-04,2025-10-17,2025-10-17,13,"docker, elasticsearch, elk",Apache License 2.0,"<p> <a href=""#公众号""><img src=""http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/badge/%E5%85%AC%E4%BC%97%E5%8F%B7-macrozheng-blue.svg"" alt=""公众号""></a> <a href=""#公众号""><img src=""http://macro-oss.oss-cn-shenzhen.aliyuncs.com/mall/badge/%E4%BA%A4%E6%B5%81-%E5%BE%AE%E4%BF%A1%E7%BE%A4-2BA245.svg"" alt=""交流""></a>...",True,macrozheng,1,5,80.0,127988011
127,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,82237,6972,Python,2015-03-22,2025-10-20,2025-10-14,481,"3b1b-videos, animation, explanatory-math-videos",MIT License,"<p align=""center""> <a href=""https://github.com/3b1b/manim""> <img src=""https://raw.githubusercontent.com/3b1b/manim/master/logo/cropped.png"">...",True,3b1b,3,5,80.0,32689863
128,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",81753,11363,Python,2024-04-29,2025-12-04,2025-12-04,4,"llms, python, rag",Apache License 2.0,"<p align=""center""> <a href=""http://www.theunwindai.com""> <img src=""docs/banner/unwind_black.png"" width=""900px"" alt=""Unwind AI"">...",True,Shubhamsaboo,3,5,100.0,793375104
129,tonsky/FiraCode,https://github.com/tonsky/FiraCode,Free monospaced font with programming ligatures,80690,3172,Clojure,2014-11-11,2025-09-04,2025-09-04,421,"font, ligatures, programming-ligatures",SIL Open Font License 1.1,"![Fira Code](./extras/logo.svg) Read in [Español](./LEEME.md) | [简体中文](./README_CN.md) | [日本語](./README_JA.md) | [Português brasileiro](./LEIAME.md) Programmers use a lot of symbols, often encoded with several characters. For the human brain, sequences like `->`, `<=`, or `:=` are single logical tokens, even if they take two or three characters on the screen. Your eye spends a non-zero amount of e...",True,tonsky,3,5,75.0,26500787
130,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",80517,11992,Jupyter Notebook,2023-07-23,2025-11-25,2025-11-25,1,"ai, artificial-intelligence, chatbot",Other,"This repository contains the code for developing, pretraining, and finetuning a GPT-like LLM and is the official code repository for the book [Build a Large Language Model (From Scratch)](https://amzn.to/4fqvn0D). <br> <br>...",True,rasbt,3,5,90.0,669879380
131,MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,A list of awesome beginners-friendly projects.,80347,7619,未知,2015-10-24,2025-12-05,2025-12-05,58,"awesome, awesome-list, beginner-project",无,<!-- DO NOT EDIT THIS FILE (`README.md`) --> <!-- ALL ENTRIES SHOULD BE ADDED TO AND REMOVED FROM `data.json` --> <!-- SEE THE CONTRIBUTING GUIDE (`CONTRIBUTING.md`) FOR MORE GUIDANCE -->...,True,sammyhori,3,5,100.0,44882201
132,ruanyf/weekly,https://github.com/ruanyf/weekly,科技爱好者周刊，每周五发布,80190,3751,未知,2018-10-13,2025-12-05,2025-12-05,6580,,无,记录每周值得分享的科技内容，周五发布。 欢迎投稿文章/软件/资源，请[提交 issue](https://github.com/ruanyf/weekly/issues) 。 > P.S. 讨论区的[《谁在招人》](https://github.com/ruanyf/weekly/issues/8332)，是一个免费的程序员招聘帖，提供大量就业信息，欢迎发布工作/实习岗位。...,True,ruanyf,3,5,90.0,152870372
133,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",80161,18227,Python,2019-10-03,2025-10-07,2025-10-07,47,"ansible, aws, azure",Other,"<p align=""center""><img src=""images/devops_exercises.png""/></p> :information_source: &nbsp;This repo contains questions and exercises on various technical topics, sometimes related to DevOps and SRE :bar_chart: &nbsp;There are currently **2624** exercises and questions...",True,surister,3,5,80.0,212639071
134,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",80052,18688,Jupyter Notebook,2021-03-03,2025-11-26,2025-11-18,6,"data-science, education, machine-learning",MIT License,[![GitHub license](https://img.shields.io/github/license/microsoft/ML-For-Beginners.svg)](https://github.com/microsoft/ML-For-Beginners/blob/master/LICENSE) [![GitHub contributors](https://img.shields.io/github/contributors/microsoft/ML-For-Beginners.svg)](https://GitHub.com/microsoft/ML-For-Beginners/graphs/contributors/) [![GitHub issues](https://img.shields.io/github/issues/microsoft/ML-For-Beg...,True,jlooper,3,5,90.0,343965132
135,microsoft/playwright,https://github.com/microsoft/playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",79932,4884,TypeScript,2019-11-15,2025-12-06,2025-12-06,562,"automation, chrome, chromium",Apache License 2.0,[![npm version](https://img.shields.io/npm/v/playwright.svg)](https://www.npmjs.com/package/playwright) <!-- GEN:chromium-version-badge -->[![Chromium version](https://img.shields.io/badge/chromium-143.0.7499.25-blue.svg?logo=google-chrome)](https://www.chromium.org/Home)<!-- GEN:stop --> <!-- GEN:firefox-version-badge -->[![Firefox version](https://img.shields.io/badge/firefox-145.0.1-blue.svg?lo...,True,pavelfeldman,3,5,100.0,221981891
136,louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,A fancy self-hosted monitoring tool,79399,7068,JavaScript,2021-07-03,2025-12-05,2025-12-05,779,"docker, monitor, monitoring",MIT License,"<div align=""center"" width=""100%""> <img src=""./public/icon.svg"" width=""128"" alt="""" /> </div>...",True,louislam,3,5,100.0,382496361
137,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",79266,41700,Java,2012-10-19,2025-12-05,2025-12-05,519,"framework, java, spring",Apache License 2.0,"= Spring Boot image:https://github.com/spring-projects/spring-boot/actions/workflows/build-and-deploy-snapshot.yml/badge.svg?branch=main[""Build Status"", link=""https://github.com/spring-projects/spring-boot/actions/workflows/build-and-deploy-snapshot.yml?query=branch%3Amain""] image:https://img.shields.io/badge/Revved%20up%20by-Develocity-06A0CE?logo=Gradle&labelColor=02303A[""Revved up by Develocity...",True,wilkinsona,3,5,100.0,6296790
138,DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: ,79063,9266,未知,2015-11-28,2024-07-29,2024-07-29,49,"android-interview-questions, angularjs-interview-questions, awesome",无,"<div align=""center""> <p> <a href=""https://doppler.com?utm_campaign=github_repo&utm_medium=referral&utm_content=awesome-interview&utm_source=github"">...",True,MaksimAbramchuk,3,5,60.0,47018239
139,doocs/advanced-java,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,78584,19295,Java,2018-10-06,2025-11-08,2025-11-08,2,"advanced-java, distributed-search-engine, distributed-systems",Creative Commons Attribution Share Alike 4.0 International,[![stars](https://img.shields.io/github/stars/doocs/advanced-java?color=42b883&logo=github&style=flat-square&logoColor=ffffff)](https://github.com/doocs/advanced-java/stargazers) [![forks](https://img.shields.io/github/forks/doocs/advanced-java?color=42b883&logo=github&style=flat-square&logoColor=ffffff)](https://github.com/doocs/advanced-java/network/members) [![license](https://img.shields.io/gi...,True,yanglbme,3,5,90.0,151834062
140,ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,Explain complex systems using visuals and simple terms. Help you prepare for system design interviews.,78321,8535,未知,2023-09-18,2025-04-04,2025-04-04,54,"aws, cloud-computing, coding-interviews",Other,"<p> <a href=""https://blog.bytebytego.com/?utm_source=site""><img src="".github/banner.jpg"" /> </a> </p>...",True,slam,3,5,75.0,693342566
141,syncthing/syncthing,https://github.com/syncthing/syncthing,Open Source Continuous File Synchronization,78072,4846,Go,2013-11-26,2025-12-03,2025-12-02,375,"go, p2p, peer-to-peer",Mozilla Public License 2.0,[![Syncthing][14]][15] --- [![MPLv2 License](https://img.shields.io/badge/license-MPLv2-blue.svg?style=flat-square)](https://www.mozilla.org/MPL/2.0/)...,True,calmh,3,5,100.0,14712850
142,tensorflow/models,https://github.com/tensorflow/models,Models and examples built with TensorFlow,77679,45389,Python,2016-02-05,2025-12-01,2025-12-01,1262,,Other,"<div align=""center""> <img src=""https://storage.googleapis.com/tf_model_garden/tf_model_garden_logo.png""> </div>...",True,tensorflower-gardener,3,5,90.0,51117837
143,fighting41love/funNLP,https://github.com/fighting41love/funNLP,中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名,77672,15088,Python,2018-08-21,2024-05-10,2023-08-24,42,,无,"<center> <img style=""border-radius: 0.3125em; box-shadow: 0 2px 4px 0 rgba(34,36,38,.12),0 2px 10px 0 rgba(34,36,38,.08);""...",True,fighting41love,3,5,60.0,145553672
144,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,:zap: Dynamically generated stats for your github readmes,77307,27714,JavaScript,2020-07-09,2025-12-03,2025-12-03,234,"dynamic, profile-readme, readme-generator",MIT License,"<div align=""center""> <img src=""https://res.cloudinary.com/anuraghazra/image/upload/v1594908242/logo_ccswme.svg"" width=""100px"" alt=""GitHub Readme Stats"" /> <h1 style=""font-size: 28px; margin: 10px 0;"">GitHub Readme Stats</h1>...",True,dependabot[bot],3,5,100.0,278335273
145,hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,"Open-Source API Development Ecosystem • https://hoppscotch.io • Offline, On-Prem & Cloud • Web, Desktop & CLI • Open-Source Alternative to Postman, Insomnia",77195,5456,TypeScript,2019-08-21,2025-12-05,2025-12-04,589,"api, api-client, api-rest",MIT License,"<div align=""center""> <a href=""https://hoppscotch.io""> <img...",True,liyasthomas,3,5,100.0,203587744
146,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,76955,8306,C++,2023-03-27,2025-05-27,2025-05-27,746,"ai-chat, llm-inference",MIT License,"<h1 align=""center"">GPT4All</h1> <p align=""center""> Now with support for DeepSeek R1 Distillations...",True,manyoso,3,5,75.0,619959033
147,netdata/netdata,https://github.com/netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",76925,6253,C,2013-06-17,2025-12-06,2025-12-06,243,"ai, alerting, cncf",GNU General Public License v3.0,"<p align=""center""> <a href=""https://www.netdata.cloud#gh-light-mode-only""> <img src=""https://www.netdata.cloud/img/readme-images/netdata_readme_logo_light.png"" alt=""Netdata"" width=""300""/>...",True,ktsaou,3,5,100.0,10744183
148,vitejs/vite,https://github.com/vitejs/vite,Next generation frontend tooling. It's fast!,76925,7586,TypeScript,2020-04-21,2025-12-05,2025-12-05,602,"build-tool, dev-server, frontend",MIT License,"<p align=""center""> <a href=""https://vite.dev"" target=""_blank"" rel=""noopener noreferrer""> <img width=""180"" src=""https://vite.dev/logo.svg"" alt=""Vite logo"">...",True,yyx990803,3,5,100.0,257485422
149,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,76555,14012,Java,2018-12-06,2023-08-14,2022-01-12,21,"animation, leetcode, leetcode-c",无,![LeetCode Animation All in One](https://upload-images.jianshu.io/upload_images/1940317-e837182a805cecce.png?imageMogr2/auto-orient/strip%7CimageView2/2/w/1240) [![Travis](https://img.shields.io/badge/language-C++-red.svg)](https://developer.apple.com/.md) [![Travis](https://img.shields.io/badge/language-Java-yellow.svg)](https://developer.apple.com/.md)...,True,MisterBooo,3,5,60.0,160640094
150,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,76183,6443,未知,2024-11-30,2025-12-05,2025-12-05,125,"ai, mcp",MIT License,[![ไทย](https://img.shields.io/badge/Thai-Click-blue)](README-th.md) [![English](https://img.shields.io/badge/English-Click-yellow)](README.md) [![繁體中文](https://img.shields.io/badge/繁體中文-點擊查看-orange)](README-zh_TW.md)...,True,punkpeye,3,5,100.0,896335270
151,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,76152,11090,Python,2023-09-24,2025-11-20,2025-11-20,92,"ai, ai-deep-fake, ai-face",GNU Affero General Public License v3.0,"<h1 align=""center"">Deep-Live-Cam</h1> <p align=""center""> Real-time face swap and video deepfake with a single click and only a single image....",True,hacksider,3,5,90.0,695864515
152,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",75893,12212,JavaScript,2012-02-17,2025-12-03,2025-12-03,1455,"css, font, fontawesome",Other,"<h1><img src=""https://img.fortawesome.com/349cfdf6/fa-free-logo.svg"" alt=""Font Awesome Free"" width=""50%""></h1> > Version 7 Font Awesome is the Internet's icon library and toolkit, used by millions of...",True,sensibleworld,3,5,90.0,3470471
153,elastic/elasticsearch,https://github.com/elastic/elasticsearch,"Free and Open Source, Distributed, RESTful Search Engine",75593,25653,Java,2010-02-08,2025-12-06,2025-12-06,5380,"elasticsearch, java, search-engine",Other,"= Elasticsearch Elasticsearch is a distributed search and analytics engine, scalable data store and vector database optimized for speed and relevance on production-scale workloads. Elasticsearch is the foundation of Elastic's open Stack platform. Search in near real-time over massive datasets, perform vector searches, integrate with generative AI applications, and much more. Use cases enabled by E...",True,kimchy,3,5,90.0,507775
154,junegunn/fzf,https://github.com/junegunn/fzf,:cherry_blossom: A command-line fuzzy finder,75563,2628,Go,2013-10-23,2025-12-03,2025-12-03,312,"bash, cli, fish",MIT License,"<div align=""center"" markdown=""1""> <sup>Special thanks to:</sup> <br>...",True,junegunn,3,5,100.0,13807606
155,typicode/json-server,https://github.com/typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),75423,7258,JavaScript,2013-11-27,2025-11-21,2025-11-21,723,,Other,"[![Node.js CI](https://github.com/typicode/json-server/actions/workflows/node.js.yml/badge.svg)](https://github.com/typicode/json-server/actions/workflows/node.js.yml) > [!IMPORTANT] > Viewing beta v1 documentation – usable but expect breaking changes. For stable version, see [here](https://github.com/typicode/json-server/tree/v0)...",True,typicode,3,5,90.0,14747598
156,coder/code-server,https://github.com/coder/code-server,VS Code in the browser,75236,6391,TypeScript,2019-02-27,2025-12-02,2025-12-02,170,"browser-ide, dev-tools, development-environment",MIT License,"[![""GitHub Discussions""](https://img.shields.io/badge/%20GitHub-%20Discussions-gray.svg?longCache=true&logo=github&colorB=purple)](https://github.com/coder/code-server/discussions) [![""Join us on Slack""](https://img.shields.io/badge/join-us%20on%20slack-gray.svg?longCache=true&logo=slack&colorB=brightgreen)](https://coder.com/community) [![Twitter Follow](https://img.shields.io/twitter/follow/Code...",True,code-asher,3,5,100.0,172953845
157,sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,:link: Some useful websites for programmers.,74921,8538,未知,2017-03-05,2025-09-16,2025-09-16,1025,"books, cs, hacktoberfest",MIT License,"<h1 align=""center""> <br> <img width=""200"" src=""https://raw.githubusercontent.com/sindresorhus/awesome/main/media/logo.svg"" alt=""awesome"">...",True,sdmg15,3,5,70.0,83999700
158,unionlabs/union,https://github.com/unionlabs/union,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",74454,3832,Rust,2023-05-16,2025-12-06,2025-12-05,184,"astro, blockchain, cosmos",Apache License 2.0,"<div align=""center""> <picture> <source media=""(prefers-color-scheme: dark)"" srcset=""./.github/images/union-logo-white.svg"">...",True,cor,3,5,100.0,641656392
159,astral-sh/uv,https://github.com/astral-sh/uv,"An extremely fast Python package and project manager, written in Rust.",74310,2301,Rust,2023-10-02,2025-12-06,2025-12-06,2436,"packaging, python, resolver",Apache License 2.0,[![uv](https://img.shields.io/endpoint?url=https://raw.githubusercontent.com/astral-sh/uv/main/assets/badge/v0.json)](https://github.com/astral-sh/uv) [![image](https://img.shields.io/pypi/v/uv.svg)](https://pypi.python.org/pypi/uv) [![image](https://img.shields.io/pypi/l/uv.svg)](https://pypi.python.org/pypi/uv)...,True,charliermarsh,3,5,90.0,699532645
160,d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,74230,12019,Python,2017-08-23,2024-07-30,2023-08-18,119,"book, chinese, computer-vision",Apache License 2.0,"[第二版：zh.D2L.ai](https://zh.d2l.ai)  | [第一版：zh-v1.D2L.ai](https://zh-v1.d2l.ai/) |  安装和使用书中源代码： [第二版](https://zh.d2l.ai/chapter_installation/index.html) [第一版](https://zh-v1.d2l.ai/chapter_prerequisite/install.html) <h5 align=""center""><i>理解深度学习的最佳方法是学以致用。</i></h5> <p align=""center"">...",True,astonzhang,3,5,60.0,101138315
161,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,73947,8952,TypeScript,2024-11-19,2025-12-02,2025-12-02,255,,MIT License,"This repository is a collection of *reference implementations* for the [Model Context Protocol](https://modelcontextprotocol.io/) (MCP), as well as references to community-built servers and additional resources. > [!IMPORTANT] > If you are looking for a list of MCP servers, you can browse published servers on [the MCP Registry](https://registry.modelcontextprotocol.io/). The repository served by t...",True,olaservo,3,5,100.0,890668799
